DrugName,ChemicalComposition,Description
Remimazolam, C21H19BrN4O2,An ultra short-acting benzodiazepine used for the induction and maintenence of procedural sedation during short procedures.
Remoxipride, C16H23BrN2O3,An discontinued atypical antipsychotic selective for dopamine D2 receptors.
Repaglinide, C27H36N2O4,A antihyperglycemic used to improve glycemic control in diabetes.
Repotrectinib, C18H18FN5O2,A tyrosine kinase inhibitor used to treat locally active or metastatic non-small cell lung cancer
Rescinnamine, C35H42N2O9,For the treatment of hypertension.
Reserpine, C33H40N2O9,For the treatment of hypertension
Resmetirom, C17H12Cl2N6O4,A thyroid hormone receptor-beta agonist used to treat noncirrhotic nonalcoholic steatohepatitis (NASH) with moderate to advanced liver fibrosis in adults.
Resorcinol, C6H6O2,"Contemporary therapeutic uses for resorcinol primarily revolve around the use of the phenol derivative as an active ingredient in topical antiseptics [L2745, L2744, L40069, F61] or as topical antibacterial skin..."
Resorcinol monoacetate, C8H8O3,
Retapamulin, C30H47NO4S,A topical antibiotic agent used for the treatment of impetigo caused by methicillin-susceptible Staphylococcus aureus or Streptococcus pyogenes.
Revefenacin, C35H43N5O4,An anticholinergic agent used to treat COPD.
Reviparin,,"By the FDA, reviparin is indicated for the treatment of deep vein which may lead to pulmonary embolism in pediatric patients. It is also indicated for the long-term treatment of..."
Rezafungin, C63H85N8O17,An echinocandin antifungal indicated in patients over 18 years old who have limited or no alternative options for the treatment of candidemia and invasive candidiasis.
Ribavirin, C8H12N4O5,A guanosine nucleoside used to treat some forms of Hepatitis C.
Ribociclib, C23H30N8O,"A kinase inhibitor used to treat HR+, HER2- advanced or metastatic breast cancer."
Quinethazone, C10H12ClN3O3S,Used to treat hypertension.
Quinidine, C20H24N2O2,"A medication used to restore normal sinus rhythm, treat atrial fibrillation and flutter, and treat ventricular arrhythmias."
Quinidine barbiturate, C32H36N4O5,The administration of quinidine derivatives helps to observe various skin and mucosal reactions. A papulopurpuric eruption in a patient (without thrombopenia) can be developed who is taking quinidine phenylethyl barbiturate...
Quinine, C20H24N2O2,An alkaloid used to treat uncomplicated Plasmodium falciparum malaria.
Riboflavin, C17H20N4O6,A vitamin used to correct vitamin B2 deficiency.
Ribostamycin, C17H34N4O10,A broad spectrum aminoglycoside antibiotic on the list of WHO critical antimicrobials for human medicine.
Rifabutin, C46H62N4O11,An antibiotic used to treat mycobacterium avium complex disease in patients with HIV.
Rifampin, C43H58N4O12,An antibiotic used alone or in combination with other antimicrobial drugs to treat tuberculosis and asymptomatic carriers of Neisseria meningitidis.
Rifamycin, C37H47NO12,An antibacterial used to treat traveler's diarrhea.
Rifapentine, C47H64N4O12,An antibiotic agent used in the treatment of pulmonary tuberculosis.
Quinupramine, C21H24N2,"Quinupramine has been approved in France under the brand name Kinupril, as an antidepressant ."
Quinupristin, C53H67N9O10S,An antibiotic agent used in the treatment of serious vancomycin-resistant Enterococcus faecium bacteremia as well as complicated skin and skin structure infections.
Quizartinib, C29H32N6O4S,A FLT3 inhibitor used in combination with cytarabine and anthracycline to treat acute myeloid leukemia with FLT3 internal tandem duplication
Rabeprazole, C18H21N3O3S,"A proton pump inhibitor used to help gastrointestinal ulcers heal, to treat symptoms of gastroesophageal reflux disease (GERD), to eradicate Helicobacter pylori, and to treat hypersecretory conditions such as Zollinger-Ellison Syndrome."
Racemethionine, C5H11NO2S,A preparation of methionine that includes a mixture of D-methionine and L-methionine isomers.
Racephedrine, C10H15NO,
Racepinephrine,,A bronchodilator used to treat intermittent asthma.
Radium Ra 223 dichloride, Cl2Ra,"A radiopharmaceutical agent used to treat patients with castration-resistant prostate cancer, symptomatic bone metastases and no known visceral metastatic disease."
Raloxifene, C28H27NO4S,A selective estrogen receptor modulator that is used to prevent and treat osteoporosis and reduce the risk of invasive breast cancer in high-risk postmenopausal women.
Raltegravir, C20H21FN6O5,An antiretroviral agent used for the treatment of HIV infections in conjunction with other antiretrovirals.
Raltitrexed, C21H22N4O6S,A folate analog thymidylate synthase inhibitor used in the treatment of advanced colorectal cancer.
Ramelteon, C16H21NO2,A melatonin receptor agonist used to treat insomnia.
Ramipril, C23H32N2O5,An ACE inhibitor used for the management of hypertension and the reduction of cardiovascular mortality following myocardial infarction in hemodynamically stable patients with clinical signs of congestive heart failure.
Ranitidine, C13H22N4O3S,"A histamine H2 antagonist used to treat duodenal ulcers, Zollinger-Ellison syndrome, gastric ulcers, GERD, and erosive esophagitis."
Ranolazine, C24H33N3O4,An anti-anginal drug used for the treatment of chronic angina.
Rapacuronium, C37H61N2O4,"A nondepolarizing neuromuscular blocking agent used as an adjunct to general anesthesia to facilitate tracheal intubation, and to provide skeletal muscle relaxation during surgical procedures."
Rasagiline, C12H13N,An irreversible inhibitor of monoamine oxidase used for the symptomatic management of idiopathic Parkinson's disease as initial monotherapy and as adjunct therapy to levodopa.
Rebamipide, C19H15ClN2O4,A gastroprotective agent used in combination with other similar therapies (e.g. proton pump inhibitors) to treat gastritis and protect the gastric mucosa.
Reboxetine, C19H23NO3,A drug used for the acute treatment of major depression and for maintenance therapy of depression.
Regadenoson, C15H18N8O5,A coronary vasodilator used in radionuclide myocardial perfusion imaging (MPI).
Regorafenib, C21H15ClF4N4O3,"A kinase inhibitor used to treat patients with metastatic colorectal cancer, unresectable, locally advanced, or metastatic gastrointestinal stromal tumors, and hepatocellular carcinoma."
Spiramycin, C43H74N2O14,A macrolide antimicrobial agent used in the treatment of various bacterial infections.
Spirapril, C22H30N2O5S2,Spirapril is an ACE inhibitor class drug used to treat hypertension.
Spironolactone, C24H32O4S,"An aldosterone receptor antagonist used to treat edema, hypertension, heart failure, and aldosteronism."
Squalene, C30H50,Squalene is originally obtained from shark liver oil. It is a natural 30-carbon isoprenoid compound and intermediate metabolite in the synthesis of cholesterol. It is not susceptible to lipid peroxidation...
Stannous chloride, Cl2Sn,Stannous chloride is a component of technetium-99m agents indicated for imaging of the skeleton for areas of altered osteogenesis or in the detection of infarcted heart tissue [FDA Label].
Stannous fluoride, F2Sn,"A medication used to treat dental hypersensitivity, produce enamel, prevent gingivitis and cavities, and prevent periodontal infections."
Stanozolol, C21H32N2O,An anabolic steroid used to manage hereditary angioedema.
"Starch, corn",,Corn starch refers to the starch extracted from the corn grain that is commonly used as a food ingredient and chemical additive. Starch is any of a group of polysaccharides...
Stavudine, C10H12N2O4,A dideoxynucleoside used in the treatment of HIV infection.
Stearic acid, C18H36O2,An ingredient found in topical products as a skin protectant.
Steviolbioside, C32H50O13,Steviolbioside has been used in trials studying the treatment of HIV-1 Infection.
Stiripentol, C14H18O3,An antiepileptic agent used in combination with other anticonvulsants to treat seizures associated with Dravet syndrome.
Streptomycin, C21H39N7O12,An aminoglycoside antibiotic indicated to treat multi-drug resistant mycobacterium tuberculosis and various non-tuberculosis infections.
Streptozocin, C8H15N3O7,A nitrosourea antineoplastic agent used in the treatment of metastatic pancreatic islet cell carcinoma.
Strontium chloride, Cl2Sr,A medication used to treat bone pain in skeletal metastases.
Strontium chloride Sr-89, Cl2Sr,A radiopharmaceutical agent used for the relief of bone pain in patients with painful skeletal metastases.
Strontium ranelate, C12H6N2O8SSr2,A medication used for the management of severe osteoporosis in high-risk postmenopausal women and adult men.
Succimer, C4H6O4S2,A mercaptodicarboxylic acid heavy metal chelator used in the treatment of heavy metal poisoning.
Succinic acid, C4H6O4,"For nutritional supplementation, also for treating dietary shortage or imbalance"
Succinylcholine, C14H30N2O4,"A depolarizing skeletal muscle relaxant used adjunctly to anesthesia and for skeletal muscle relaxation during intubation, mechanical ventilation, and surgical procedures."
Sucralfate, C12H35Al9O55S8,A gastro-duodenal protective agent used in the treatment of gastric and duodenal ulcers and to prevent duodenal ulcer recurrence.
Sucrose, C12H22O11,"A nonreducing disaccharide composed of glucose and fructose linked via their anomeric carbons. It is obtained commercially from sugarcane, sugar beet (beta vulgaris), and other plants and used extensively as..."
Sufentanil, C22H30N2O2S,"An opioid used to induce and maintain anesthesia, to act as an analgesic in labor and delivery, and to treat severe, acute pain."
Sugammadex, C72H112O48S8,A modified gamma cyclodextrin used to reverse neuromuscular blockade induced by vecuronium bromide and rocuronium bromide which are agents used for anesthesia.
Sulbactam, C8H11NO5S,An beta-lactamase inhibitor antibiotic combined with other antibiotics to treat a variety of susceptible bacterial infections.
Romidepsin, C24H36N4O6S2,A histone deacetylase (HDAC) inhibitor used to treat cutaneous T-cell lymphoma.
Ropinirole, C16H24N2O,A non-ergoline dopamine agonist used to treat the symptoms of Parkinson's disease and Restless Legs Syndrome.
Ropivacaine, C17H26N2O,An amide-type local anesthetic used for local or regional anesthesia during surgery and for short-term management of acute pain.
Rose bengal, C20H4Cl4I4O5,"Indicated as a diagnostic agent in routine ocular examinations or when superficial conjunctiva or corneal tissue change is suspected, and as an aid in the diagnosis of keratoconjunctivitis sicca, keratitis,..."
Rose bengal I-131, C20H4Cl4I4O5,
Rosiglitazone, C18H19N3O3S,A thiazolidinedione indicated as an adjunct to diet and exercise to maintain glycemic control in type 2 diabetes.
Rosoxacin, C17H14N2O3,"For the treatment of bacterial infection of respiratory tract, urinary tract, GI, CNS and immuno compromised patients."
Rosuvastatin, C22H28FN3O6S,An HMG-CoA reductase inhibitor used to lower lipid levels and reduce the risk of cardiovascular disease including myocardial infarction and stroke.
Rotigotine, C19H25NOS,A non-selective dopamine agonist used for the treatment of Parkinson's Disease and Restless Leg Syndrome.
Roxadustat, C19H16N2O5,A hypoxia-inducible factor (HIF) prolyl hydroxylase inhibitor used to treat symptomatic anemia associated with chronic kidney disease.
Roxithromycin, C41H76N2O15,An antibiotic used to treat a variety of susceptible bacterial infections.
Rubidium, Rb,
Rubidium Rb-82, Rb,A radiopharmaceutical diagnostic agent used for Positron Emission Tomography (PET) imaging of the myocardium to evaluate regional myocardial perfusion in adult patients with suspected or existing coronary artery disease.
Rucaparib, C19H18FN3O,A poly (ADP-ribose) polymerase (PARP) inhibitor used to treat recurrent ovarian and prostate cancers in previously treated adults.
Rufinamide, C10H8F2N4O,An antiepileptic drug used as adjunctive therapy to treat seizures associated with Lennox-Gastaut Syndrome (LGS).
